Location,FIPS Code,Percent Change in Interpersonal Violence
Richmond County,13245,-32.84493177
Rockdale County,13247,9.31737662
Schley County,13249,-67.6256531
Screven County,13251,-43.88802063
Seminole County,13253,-50.93372522
Spalding County,13255,-47.74765286
Stephens County,13257,-41.79518312
Stewart County,13259,-46.40583242
Sumter County,13261,-42.07564944
Talbot County,13263,-48.91247039
Taliaferro County,13265,-63.36149845
Tattnall County,13267,-44.37587979
Taylor County,13269,-58.58126034
Telfair County,13271,-56.63715533
Terrell County,13273,-56.19205828
Thomas County,13275,-59.38923898
Tift County,13277,-36.42082898
Toombs County,13279,-49.90697912
Towns County,13281,-36.5473949
Treutlen County,13283,-65.63604593
Troup County,13285,-59.77948172
Turner County,13287,-39.80833025
Twiggs County,13289,-64.97857921
Union County,13291,-46.8263747
Upson County,13293,-53.28079703
Walker County,13295,-51.45633216
Walton County,13297,-64.25242658
Ware County,13299,-39.55384238
Warren County,13301,-58.56675824
Washington County,13303,-66.85328138
Wayne County,13305,-46.71403433
Webster County,13307,-66.21164893
Wheeler County,13309,-55.19578594
White County,13311,-47.09781505
Whitfield County,13313,-52.18811023
Wilcox County,13315,-52.61181151
Wilkes County,13317,-60.31493175
Wilkinson County,13319,-66.04082649
Worth County,13321,-61.75527827
Hawaii County,15001,-47.77594178
Honolulu County,15003,-61.88536504
Kalawao County,15005,-40.00239615
Kauai County,15007,-41.5375917
Maui County,15009,-40.00239615
Ada County,16001,-45.39378763
Adams County,16003,-34.6154515
Bannock County,16005,-25.38601456
Bear Lake County,16007,-37.05997909
Benewah County,16009,-20.32460162
Bingham County,16011,-29.3029727
Blaine County,16013,-26.76733479
Boise County,16015,-25.70057126
Bonner County,16017,-34.84593085
Bonneville County,16019,-27.35844199
Boundary County,16021,-21.18600696
Butte County,16023,-37.11420542
Camas County,16025,-24.94119458
Canyon County,16027,-28.45735577
Caribou County,16029,-27.73008308
Cassia County,16031,-20.54321064
Clark County,16033,-22.17128472
Clearwater County,16035,-10.75301625
Custer County,16037,-32.19363054
Elmore County,16039,-36.20945202
Franklin County,16041,-32.07684242
Fremont County,16043,-44.18252387
Gem County,16045,-33.39574626
Gooding County,16047,-21.81931243
Idaho County,16049,-23.6237051
Jefferson County,16051,-45.83103923
Jerome County,16053,-11.57570409
Kootenai County,16055,-30.06677532
Latah County,16057,-31.55738329
Lemhi County,16059,-34.4663798
Lewis County,16061,-24.09039723
Lincoln County,16063,-13.34172914
Madison County,16065,-45.69933043
Minidoka County,16067,-24.13527576
Nez Perce County,16069,-29.65875205
Oneida County,16071,-29.67654694
Owyhee County,16073,-36.24378458
Payette County,16075,-32.68064906
Power County,16077,-19.93018418
Shoshone County,16079,-23.97831277
Teton County,16081,-38.14019609
Twin Falls County,16083,-21.98150103
Valley County,16085,-33.92466114
Washington County,16087,-29.98634524
Adams County,17001,-19.42303056
Alexander County,17003,-18.83476512
Bond County,17005,-31.31215321
Boone County,17007,-3.669193976
Brown County,17009,14.2304272
Bureau County,17011,-22.7499101
Calhoun County,17013,-47.44710281
Carroll County,17015,-13.92183318
Cass County,17017,0.489596724
Champaign County,17019,-22.57723574
Christian County,17021,-28.84313673
Clark County,17023,-11.27349294
Clay County,17025,-18.59469481
Clinton County,17027,-41.51772097
Coles County,17029,-24.20922312
Cook County,17031,-47.69368975
Crawford County,17033,-4.81101922
Cumberland County,17035,-20.75003864
DeKalb County,17037,-29.52291044
De Witt County,17039,-25.65012815
Douglas County,17041,-17.46307268
DuPage County,17043,-45.0005445
Edgar County,17045,-19.9544288
Edwards County,17047,-2.893295001
Effingham County,17049,-16.18827014
Fayette County,17051,-18.48104233
Ford County,17053,-6.024217602
Franklin County,17055,-32.55531354
Fulton County,17057,-12.76734865
Gallatin County,17059,-18.86627575
Greene County,17061,-32.41361135
Grundy County,17063,-35.31313802
Hamilton County,17065,-27.31084712
Hancock County,17067,-27.8339011
Hardin County,17069,-25.38948204
Henderson County,17071,-28.31582874
Henry County,17073,-21.88608764
Iroquois County,17075,3.823267047
Jackson County,17077,-36.75158532
Jasper County,17079,-25.6667663
Jefferson County,17081,-16.44012275
Jersey County,17083,-43.66670546
Jo Daviess County,17085,-11.83270565
Johnson County,17087,-31.18327458
Kane County,17089,-45.01563332
Kankakee County,17091,-26.45865097
Kendall County,17093,-31.25832253
Knox County,17095,8.154792559
Lake County,17097,-27.14513382
LaSalle County,17099,-21.36902032
Lawrence County,17101,8.844610499
Lee County,17103,-15.55884489
Livingston County,17105,-11.97611486
Logan County,17107,-16.65574123
McDonough County,17109,-15.47235098
McHenry County,17111,-33.69415196
McLean County,17113,-25.94926921
Macon County,17115,8.703318842
Macoupin County,17117,-27.99561295
Madison County,17119,-29.08827884
Marion County,17121,-26.40116713
Marshall County,17123,-2.607467615
Mason County,17125,-7.385549332
Massac County,17127,-25.51523729
Menard County,17129,-26.28813411
Mercer County,17131,-17.38529082
Monroe County,17133,-36.15798199
Montgomery County,17135,-26.97335271
Morgan County,17137,-17.91825117
Moultrie County,17139,-22.2768422
Ogle County,17141,-6.139372442
Peoria County,17143,22.58962545
Perry County,17145,-24.49149591
Piatt County,17147,-26.97128037
Pike County,17149,-33.22138338
Pope County,17151,-27.29117679
Pulaski County,17153,-37.4237557
Putnam County,17155,-3.17042797
Randolph County,17157,-30.85920395
Richland County,17159,-15.57428797
Rock Island County,17161,-11.21146325
Saint Clair County,17163,-39.36075424
Saline County,17165,-21.44527623
Sangamon County,17167,-11.47784456
Schuyler County,17169,-21.02052167
Scott County,17171,-21.30692577
Shelby County,17173,-23.23150774
Stark County,17175,-5.273491517
Stephenson County,17177,8.242125137
Tazewell County,17179,-7.164462739
Union County,17181,-35.57843419
Vermilion County,17183,27.61407758
Wabash County,17185,-20.2605348
Warren County,17187,-22.97299698
Washington County,17189,-42.93592494
Wayne County,17191,-16.15460198
White County,17193,-23.81092449
Whiteside County,17195,-11.82021727
Will County,17197,-57.73459238
Williamson County,17199,-31.38009039
Winnebago County,17201,17.31943538
Woodford County,17203,-21.88314533
Adams County,18001,-16.86293446
Allen County,18003,-0.782890832
Bartholomew County,18005,1.837979521
Benton County,18007,-8.559385253
Blackford County,18009,-27.41134952
Boone County,18011,-19.60125951
Brown County,18013,-4.765949105
Carroll County,18015,-17.5492907
Cass County,18017,-3.710828347
Clark County,18019,-23.36506222
Clay County,18021,-11.47732114
Clinton County,18023,-18.90523796
Crawford County,18025,-21.52947293
Daviess County,18027,11.25380795
Dearborn County,18029,-16.22713269
Decatur County,18031,6.334772294
DeKalb County,18033,-16.55398137
Delaware County,18035,-36.67523264
Dubois County,18037,-13.7563721
Elkhart County,18039,-8.400137851
Fayette County,18041,-11.09582874
Floyd County,18043,-24.09647391
Fountain County,18045,-22.19792368
Franklin County,18047,-13.30287131
Fulton County,18049,-3.827755709
Gibson County,18051,-16.50219135
Grant County,18053,-26.05164645
Greene County,18055,6.823395112
Hamilton County,18057,-26.94400886
Hancock County,18059,-19.50885089
Harrison County,18061,-24.81749796
Hendricks County,18063,-9.687246123
Henry County,18065,-17.44077189
Howard County,18067,3.977217348
Huntington County,18069,-27.23720065
Jackson County,18071,-3.272234243
Jasper County,18073,-12.23147803
Jay County,18075,-28.78456367
Jefferson County,18077,-26.36357041
Jennings County,18079,0.756582908
Johnson County,18081,0.775615948
Knox County,18083,-4.70545406
Kosciusko County,18085,-12.89090027
LaGrange County,18087,-30.23487223
Lake County,18089,-24.36409699
LaPorte County,18091,-2.818766389
Lawrence County,18093,10.32191248
Madison County,18095,-18.95140227
Marion County,18097,7.594428201
Marshall County,18099,-14.86866353
Martin County,18101,-3.943586414
Miami County,18103,-24.99202588
Monroe County,18105,-11.20923321
Montgomery County,18107,-11.11166325
Morgan County,18109,-11.48794857
Newton County,18111,-13.25182969
Noble County,18113,-23.94556997
Ohio County,18115,-16.13918859
Orange County,18117,2.431493422
Owen County,18119,32.27159661
Parke County,18121,-8.937139135
Perry County,18123,-14.18245882
Pike County,18125,-17.25382694
Porter County,18127,-6.770987157
Posey County,18129,-26.08053418
Pulaski County,18131,-14.87578865
Putnam County,18133,13.64142732
Randolph County,18135,-29.28584719
Ripley County,18137,-23.36931114
Rush County,18139,-12.68966552
Saint Joseph County,18141,-16.09578062
Scott County,18143,0.07608422
Shelby County,18145,-5.043708622
Spencer County,18147,-18.85036919
Starke County,18149,-11.2502282
Steuben County,18151,-19.26305462
Sullivan County,18153,16.18579934
Switzerland County,18155,-22.37186168
Tippecanoe County,18157,-21.83320281
Tipton County,18159,-13.20771169
Union County,18161,-16.75624727
Vanderburgh County,18163,-30.68462225
Vermillion County,18165,-14.61231808
Vigo County,18167,2.280604457
Wabash County,18169,-18.2528541
Warren County,18171,-19.16168695
Warrick County,18173,-15.73784937
Washington County,18175,-2.940340082
Wayne County,18177,-19.59860165
Wells County,18179,-16.23569494
White County,18181,-18.9517452
Whitley County,18183,-23.19504919
Adair County,19001,-19.77435542
Adams County,19003,-20.69241308
Allamakee County,19005,-26.35532232
Appanoose County,19007,-24.28137332
Audubon County,19009,-17.68924611
Benton County,19011,-27.93861975
Black Hawk County,19013,-1.315098797
Boone County,19015,-23.83557672
Bremer County,19017,-22.46181209
Buchanan County,19019,-19.93438874
Buena Vista County,19021,12.50459608
Butler County,19023,-9.881223748
Calhoun County,19025,-9.206542246
Carroll County,19027,-10.97017209
Cass County,19029,-1.291044044
Cedar County,19031,-23.30940306
Cerro Gordo County,19033,10.26451256
Cherokee County,19035,-15.91574789
Chickasaw County,19037,-11.81731871
Clarke County,19039,-20.38437183
Clay County,19041,-9.207740796
Clayton County,19043,-35.03437981
Clinton County,19045,-19.44193682
Crawford County,19047,3.716678756
Dallas County,19049,-30.941315
Davis County,19051,-17.71042973
Decatur County,19053,-13.99126309
