Location,FIPS Code,Percent Change in Mortality Risk
Wilcox County,01131,3.357580604
Winston County,01133,2.776704832
Aleutians East Borough,02013,3.194910383
Aleutians West Census Area,02016,2.19791431
Anchorage Municipality,02020,3.239577223
Bethel Census Area,02050,4.175784711
Bristol Bay Borough,02060,3.578204017
Denali Borough,02068,3.027483964
Dillingham Census Area,02070,1.752052056
Fairbanks North Star Borough,02090,3.289697112
Haines Borough,02100,2.291343695
Hoonah-Angoon Census Area,02105,2.310206775
Juneau City and Borough,02110,4.550294853
Kenai Peninsula Borough,02122,3.408544065
Ketchikan Gateway Borough,02130,1.978216253
Kodiak Island Borough,02150,0.943128465
Kusilvak Census Area,02158,1.29373002
Lake and Peninsula Borough,02164,3.89031723
Matanuska-Susitna Borough,02170,5.51711335
Nome Census Area,02180,4.224410949
North Slope Borough,02185,6.100018042
Northwest Arctic Borough,02188,5.221738221
Petersburg Borough,02195,2.602214506
Prince of Wales-Hyder Census Area,02198,5.433526157
Sitka City and Borough,02220,3.000822531
Skagway Municipality,02230,2.543293981
Southeast Fairbanks Census Area,02240,2.176027402
Valdez-Cordova Census Area,02261,5.131325272
Wrangell City and Borough,02275,5.606395832
Yakutat City and Borough,02282,2.766593259
Yukon-Koyukuk Census Area,02290,3.113499951
Apache County,04001,6.536955105
Cochise County,04003,4.833285469
Coconino County,04005,1.142577073
Gila County,04007,2.669820486
Graham County,04009,4.941828677
Greenlee County,04011,3.958897085
La Paz County,04012,5.972972891
Maricopa County,04013,3.978023169
Mohave County,04015,-0.555487379
Navajo County,04017,2.766969953
Pima County,04019,3.375973705
Pinal County,04021,3.787045968
Santa Cruz County,04023,7.726439289
Yavapai County,04025,2.6021962
Yuma County,04027,8.596074894
Arkansas County,05001,5.177408876
Ashley County,05003,3.76909593
Baxter County,05005,4.321101755
Benton County,05007,3.131922905
Boone County,05009,-0.306192494
Bradley County,05011,4.252014636
Calhoun County,05013,2.552921288
Carroll County,05015,3.151417526
Chicot County,05017,18.3099392
Clark County,05019,18.3099392
Clay County,05021,6.376598021
Cleburne County,05023,7.942306385
Cleveland County,05025,6.226457034
Columbia County,05027,11.11219905
Conway County,05029,11.84525098
Craighead County,05031,8.180996612
Crawford County,05033,7.591076302
Crittenden County,05035,11.62922217
Cross County,05037,7.338281997
Dallas County,05039,8.043360409
Desha County,05041,8.32282178
Drew County,05043,13.17565711
Faulkner County,05045,6.499060823
Franklin County,05047,11.84525098
Fulton County,05049,6.239402204
Garland County,05051,9.830764888
Grant County,05053,17.94097918
Greene County,05055,12.81782819
Hempstead County,05057,8.32282178
Hot Spring County,05059,8.32282178
Howard County,05061,11.03336624
Independence County,05063,11.62922217
Izard County,05065,7.802992103
Jackson County,05067,8.688155124
Jefferson County,05069,8.32282178
Johnson County,05071,11.62922217
Lafayette County,05073,11.11219905
Lawrence County,05075,4.531042573
Lee County,05077,6.112866817
Lincoln County,05079,6.045259597
Little River County,05081,5.446725878
Logan County,05083,5.268371072
Lonoke County,05085,6.453707471
Madison County,05087,9.099862727
Marion County,05089,7.440082462
Miller County,05091,4.455924774
Mississippi County,05093,5.792145969
Monroe County,05095,7.079632498
Montgomery County,05097,11.46029461
Nevada County,05099,7.967615937
Newton County,05101,6.786751138
Ouachita County,05103,9.099862727
Perry County,05105,3.477823085
Phillips County,05107,3.238155834
Pike County,05109,3.282615066
Poinsett County,05111,5.845895445
Polk County,05113,3.282038424
Pope County,05115,3.29843499
Prairie County,05117,5.090827302
Pulaski County,05119,4.418945503
Randolph County,05121,2.569004634
Saint Francis County,05123,2.862698585
Saline County,05125,2.57158576
Scott County,05127,4.061648381
Searcy County,05129,3.6809854
Sebastian County,05131,2.821908406
Sevier County,05133,3.779516433
Sharp County,05135,3.836798302
Stone County,05137,3.974105343
Union County,05139,3.929259808
Van Buren County,05141,3.211271785
Washington County,05143,4.239141133
White County,05145,3.495522978
Woodruff County,05147,3.484590842
Yell County,05149,3.593513811
Alameda County,06001,2.512633235
Alpine County,06003,3.173411732
Amador County,06005,3.25281307
Butte County,06007,3.858941441
Calaveras County,06009,2.089654903
Colusa County,06011,2.78371653
Contra Costa County,06013,2.828156592
Del Norte County,06015,2.249397141
El Dorado County,06017,2.764350453
Fresno County,06019,2.659327495
Glenn County,06021,2.056422855
Humboldt County,06023,2.83850868
Imperial County,06025,3.613453202
Inyo County,06027,3.540673349
Kern County,06029,2.364702898
Kings County,06031,4.919209262
Lake County,06033,3.89511285
Lassen County,06035,2.298407519
Los Angeles County,06037,2.96793376
Madera County,06039,3.397996531
Marin County,06041,3.784398382
Mariposa County,06043,1.756639012
Mendocino County,06045,4.504576024
Merced County,06047,2.855465373
Modoc County,06049,4.849859644
Mono County,06051,4.070181761
Monterey County,06053,2.978031818
Napa County,06055,4.095640179
Nevada County,06057,2.139988857
Orange County,06059,4.515055916
Placer County,06061,3.332265398
Plumas County,06063,1.987364029
Riverside County,06065,1.127048084
Sacramento County,06067,2.432871864
San Benito County,06069,2.908265502
San Bernardino County,06071,3.770216256
San Diego County,06073,5.89776195
San Francisco County,06075,3.331529869
San Joaquin County,06077,4.653560767
San Luis Obispo County,06079,4.400095129
San Mateo County,06081,3.791726686
Santa Barbara County,06083,3.05318173
Santa Clara County,06085,2.865357452
Santa Cruz County,06087,3.83026424
Shasta County,06089,2.061594767
Sierra County,06091,4.442948133
Siskiyou County,06093,2.425188869
Solano County,06095,3.391132304
Sonoma County,06097,5.250309641
Stanislaus County,06099,2.746417594
Sutter County,06101,4.145510734
Tehama County,06103,2.609537553
Trinity County,06105,10.4389698
Tulare County,06107,8.493613341
Tuolumne County,06109,6.632805256
Ventura County,06111,5.31503151
Yolo County,06113,7.599443463
Yuba County,06115,10.07525678
Adams County,08001,8.436053817
Alamosa County,08003,6.29609546
Arapahoe County,08005,8.214739316
Archuleta County,08007,6.483894504
Baca County,08009,7.061486326
Bent County,08011,6.424494423
Boulder County,08013,11.27088063
Broomfield County,08014,7.392452138
Chaffee County,08015,6.175432155
Cheyenne County,08017,8.198205382
Clear Creek County,08019,5.007364126
Conejos County,08021,7.150565564
Costilla County,08023,10.49234791
Crowley County,08025,7.401666665
Custer County,08027,10.75190431
Delta County,08029,8.194241767
Denver County,08031,8.034982571
Dolores County,08033,7.249347943
Douglas County,08035,5.465657559
Eagle County,08037,9.080028373
Elbert County,08039,9.173218717
El Paso County,08041,5.455211631
Fremont County,08043,7.406189701
Garfield County,08045,7.985740213
Gilpin County,08047,8.723567655
Grand County,08049,5.720240849
Gunnison County,08051,8.633741599
Hinsdale County,08053,6.968183674
Huerfano County,08055,8.87770403
Jackson County,08057,7.234623203
Jefferson County,08059,8.113058977
Kiowa County,08061,13.53085986
Kit Carson County,08063,6.506292779
Lake County,08065,7.402395723
La Plata County,08067,9.831461949
Larimer County,08069,6.984515635
Las Animas County,08071,9.686439407
Lincoln County,08073,7.321007335
Logan County,08075,4.509082102
Mesa County,08077,5.635211833
Mineral County,08079,5.370968591
Moffat County,08081,8.141163424
Montezuma County,08083,8.085416373
Montrose County,08085,6.02105364
Morgan County,08087,7.506395125
Otero County,08089,6.386894447
Ouray County,08091,6.751976927
Park County,08093,6.908661932
Phillips County,08095,6.169437874
Pitkin County,08097,7.794470758
Prowers County,08099,9.825689381
Pueblo County,08101,5.19155695
Rio Blanco County,08103,6.342003983
Rio Grande County,08105,4.312798055
Routt County,08107,6.342003983
Saguache County,08109,9.092982374
San Juan County,08111,4.944002905
San Miguel County,08113,3.429334805
Sedgwick County,08115,6.342003983
Summit County,08117,6.342003983
Teller County,08119,9.30472173
Washington County,08121,6.217725467
Weld County,08123,8.253260988
Yuma County,08125,5.325339932
Fairfield County,09001,4.952425215
Hartford County,09003,5.329046907
Litchfield County,09005,6.601183918
Middlesex County,09007,4.437148325
New Haven County,09009,6.342003983
New London County,09011,6.955771025
Tolland County,09013,8.888480596
Windham County,09015,11.3081485
Kent County,10001,7.98025559
New Castle County,10003,5.860981822
Sussex County,10005,5.351330123
District of Columbia,11001,6.988790039
Alachua County,12001,7.491836524
Baker County,12003,9.409039246
Bay County,12005,8.626958577
Bradford County,12007,8.994610476
Brevard County,12009,4.239104273
Broward County,12011,7.211145954
Calhoun County,12013,6.342003983
Charlotte County,12015,5.179638058
Citrus County,12017,5.917852812
Clay County,12019,9.317018886
Collier County,12021,9.193870666
Columbia County,12023,6.141611639
DeSoto County,12027,4.959371137
Dixie County,12029,6.54480067
Duval County,12031,5.567423697
Escambia County,12033,5.258629355
Flagler County,12035,7.429998979
Franklin County,12037,4.948756801
Gadsden County,12039,5.665255652
Gilchrist County,12041,6.086522324
Glades County,12043,6.772067931
Gulf County,12045,3.515681941
Hamilton County,12047,8.528801439
Hardee County,12049,8.961146443
Hendry County,12051,6.49087397
Hernando County,12053,9.785473637
Highlands County,12055,5.205648058
Hillsborough County,12057,4.697992637
Holmes County,12059,6.024346701
Indian River County,12061,5.342566363
Jackson County,12063,9.020567549
Jefferson County,12065,7.49624377
Lafayette County,12067,7.393169379
Lake County,12069,7.919949713
Lee County,12071,5.148251607
Leon County,12073,9.666123005
Levy County,12075,7.404753116
Liberty County,12077,8.226903685
Madison County,12079,6.342003983
Manatee County,12081,5.894330503
Marion County,12083,8.951552578
Martin County,12085,7.014428738
Miami-Dade County,12086,6.537415782
Monroe County,12087,7.766689139
Nassau County,12089,7.293009195
Okaloosa County,12091,7.72879202
Okeechobee County,12093,8.006198828
Orange County,12095,6.304345006
Osceola County,12097,6.110044106
Palm Beach County,12099,8.40965276
Pasco County,12101,9.130383324
Pinellas County,12103,12.76512163
Polk County,12105,7.228182086
Putnam County,12107,5.358101019
Saint Johns County,12109,5.314269042
Saint Lucie County,12111,6.489324603
Santa Rosa County,12113,5.060214005
Sarasota County,12115,7.541103434
Seminole County,12117,6.047967585
Sumter County,12119,6.880291675
Suwannee County,12121,3.588846643
Taylor County,12123,6.320083028
Union County,12125,12.01732712
Volusia County,12127,4.578048758
Wakulla County,12129,10.95936866
Walton County,12131,3.759645652
Washington County,12133,7.761503923
Appling County,13001,4.619412169
Atkinson County,13003,6.723588106
Bacon County,13005,6.560906223
Baker County,13007,4.842893195
Baldwin County,13009,7.82415503
Banks County,13011,11.00265461
Barrow County,13013,5.471013132
Bartow County,13015,7.010998715
Ben Hill County,13017,8.771502642
Berrien County,13019,10.70335609
Bibb County,13021,4.352106957
Bleckley County,13023,7.612097108
Brantley County,13025,7.808796811
Brooks County,13027,3.53090803
Bryan County,13029,6.958763514
Bulloch County,13031,4.757507616
Burke County,13033,6.640151286
Butts County,13035,5.188945062
Calhoun County,13037,6.242811048
Camden County,13039,9.184381831
Candler County,13043,6.998506438
Carroll County,13045,5.044665651
Catoosa County,13047,5.642305047
Charlton County,13049,4.99149103
Chatham County,13051,8.175117562
Chattahoochee County,13053,5.875696057
Chattooga County,13055,8.883129514
Cherokee County,13057,8.975560768
Clarke County,13059,7.081416856
Clay County,13061,7.587922586
Clayton County,13063,6.244910322
Clinch County,13065,7.574954759
Cobb County,13067,8.581570571
Coffee County,13069,7.225898956
Colquitt County,13071,9.288259615
Columbia County,13073,3.796440967
Cook County,13075,5.70135951
Coweta County,13077,6.896282841
Crawford County,13079,4.124906667
Crisp County,13081,10.92473079
Dade County,13083,8.995147944
Dawson County,13085,6.28183584
Decatur County,13087,8.373422507
DeKalb County,13089,7.230219164
Dodge County,13091,13.75210694
Dooly County,13093,5.261475437
Dougherty County,13095,6.362170956
Douglas County,13097,2.632321199
Early County,13099,4.814436528
Echols County,13101,4.883485801
Effingham County,13103,4.96652799
Elbert County,13105,2.495883476
Emanuel County,13107,3.66035716
Evans County,13109,6.771361621
Fannin County,13111,3.286333794
Fayette County,13113,9.824801109
Floyd County,13115,3.467700273
Forsyth County,13117,3.4234956
Franklin County,13119,5.436441262
Fulton County,13121,6.59278139
Gilmer County,13123,4.844327529
Glascock County,13125,5.384627684
Glynn County,13127,4.645429869
Gordon County,13129,5.913463321
Grady County,13131,5.664229979
Greene County,13133,6.668174228
Gwinnett County,13135,7.232745747
Habersham County,13137,5.641833245
Hall County,13139,4.734292093
Hancock County,13141,3.459426935
Haralson County,13143,5.535927765
Harris County,13145,8.582910793
Hart County,13147,5.409112969
Heard County,13149,3.219394793
Henry County,13151,5.752061628
Houston County,13153,6.254725994
Irwin County,13155,8.234151509
Jackson County,13157,6.322191728
Jasper County,13159,4.164132872
Jeff Davis County,13161,8.345152496
Jefferson County,13163,5.910486436
Jenkins County,13165,7.392773091
Johnson County,13167,5.813913065
Jones County,13169,5.928269299
Lamar County,13171,7.794790365
Lanier County,13173,5.584454525
Laurens County,13175,4.17596546
Lee County,13177,9.837930045
Liberty County,13179,4.445737884
Lincoln County,13181,9.023674232
Long County,13183,7.594114644
Lowndes County,13185,7.639059084
Lumpkin County,13187,2.846239039
McDuffie County,13189,8.747458155
McIntosh County,13191,5.756285026
Macon County,13193,6.828036738
Madison County,13195,6.410723039
Marion County,13197,9.946613033
Meriwether County,13199,5.531928286
Miller County,13201,5.98560246
Mitchell County,13205,3.99375415
Monroe County,13207,6.459664685
Montgomery County,13209,5.361115526
Morgan County,13211,3.912032157
Murray County,13213,4.378089283
Muscogee County,13215,4.516760201
Newton County,13217,4.317417583
Oconee County,13219,8.545286312
Oglethorpe County,13221,5.037849875
Paulding County,13223,10.9775975
Peach County,13225,2.787074181
Pickens County,13227,11.15442926
Pierce County,13229,7.461334384
Pike County,13231,3.056712092
Polk County,13233,6.470258235
Pulaski County,13235,4.688130534
Putnam County,13237,6.147852188
Quitman County,13239,9.699952045
Rabun County,13241,7.961035782
Randolph County,13243,4.782687892
Richmond County,13245,7.004930689
Rockdale County,13247,7.930199276
Schley County,13249,1.275101584
Screven County,13251,9.603722653
Seminole County,13253,5.743201836
Spalding County,13255,5.661351834
Stephens County,13257,7.140658446
Stewart County,13259,6.850858865
Sumter County,13261,5.702729441
Talbot County,13263,4.525204289
Taliaferro County,13265,5.541156084
Tattnall County,13267,4.77742591
Taylor County,13269,3.019015257
Telfair County,13271,7.200813853
Terrell County,13273,5.268441986
Thomas County,13275,6.513416222
Tift County,13277,3.669167016
Toombs County,13279,6.783476067
Towns County,13281,5.588338389
Treutlen County,13283,5.669581951
Troup County,13285,6.219679846
Turner County,13287,7.076134811
Twiggs County,13289,9.264788131
Union County,13291,6.169131723
Upson County,13293,4.995069027
Walker County,13295,4.438008795
Walton County,13297,12.41017924
Ware County,13299,4.598375743
Warren County,13301,2.646532151
Washington County,13303,8.952370537
Wayne County,13305,6.041311198
Webster County,13307,5.040122562
Wheeler County,13309,6.693719809
White County,13311,7.979182585
Whitfield County,13313,6.560956169
Wilcox County,13315,6.287883211
Wilkes County,13317,2.886904881
Wilkinson County,13319,6.268832184
Worth County,13321,5.894107608
Hawaii County,15001,6.259773564
Honolulu County,15003,7.713549205
Kalawao County,15005,7.742031103
Kauai County,15007,5.439274871
Maui County,15009,6.738201405
Ada County,16001,5.583883387
Adams County,16003,4.715517284
Bannock County,16005,2.572863649
Bear Lake County,16007,10.36754023
Benewah County,16009,7.611978615
Bingham County,16011,9.855073476
Blaine County,16013,4.573681994
Boise County,16015,7.469089766
Bonner County,16017,5.213353329
Bonneville County,16019,7.252028014
Boundary County,16021,8.04907699
Butte County,16023,4.655270322
Camas County,16025,5.615891261
Canyon County,16027,4.761619868
Caribou County,16029,0.948992654
Cassia County,16031,6.062621113
Clark County,16033,4.507661714
Clearwater County,16035,6.598188044
Custer County,16037,7.385297532
Elmore County,16039,4.521013382
Franklin County,16041,6.272962961
Fremont County,16043,8.416992282
Gem County,16045,4.675450997
Gooding County,16047,6.433007443
Idaho County,16049,4.278470374
Jefferson County,16051,4.354709919
Jerome County,16053,2.628679287
Kootenai County,16055,5.746651097
Latah County,16057,6.104500132
Lemhi County,16059,4.422545302
Lewis County,16061,6.714417192
Lincoln County,16063,4.635332295
Madison County,16065,2.762130847
Minidoka County,16067,2.764785946
Nez Perce County,16069,5.147320409
Oneida County,16071,3.100245616
Owyhee County,16073,4.498819399
Payette County,16075,6.235955159
Power County,16077,5.537969577
Shoshone County,16079,10.23623956
Teton County,16081,6.626791292
Twin Falls County,16083,4.303314739
Valley County,16085,5.911969119
Washington County,16087,5.686537231
Adams County,17001,5.4612695
Alexander County,17003,6.729010355
Bond County,17005,6.770179113
Boone County,17007,6.256574222
Brown County,17009,5.775815255
Bureau County,17011,5.495769883
Calhoun County,17013,5.82495318
Carroll County,17015,5.495769883
Cass County,17017,6.422698184
Champaign County,17019,6.887473685
Christian County,17021,3.322354277
Clark County,17023,5.168654132
Clay County,17025,4.774254023
Clinton County,17027,5.370111824
Coles County,17029,7.997237633
Cook County,17031,7.942632744
Crawford County,17033,6.56129486
Cumberland County,17035,4.977738969
DeKalb County,17037,4.026435428
De Witt County,17039,7.222966847
Douglas County,17041,7.714674886
DuPage County,17043,4.881397758
Edgar County,17045,3.888593128
Edwards County,17047,4.398810334
Effingham County,17049,7.454126918
Fayette County,17051,5.345201481
Ford County,17053,7.782668592
Franklin County,17055,5.874528629
Fulton County,17057,5.423896487
Gallatin County,17059,7.193507111
Greene County,17061,5.007339113
Grundy County,17063,4.270170925
Hamilton County,17065,6.524183677
Hancock County,17067,7.17020157
Hardin County,17069,3.807068936
Henderson County,17071,5.70161279
Henry County,17073,5.732983
Iroquois County,17075,7.157016739
Jackson County,17077,7.561696583
Jasper County,17079,6.087179664
Jefferson County,17081,5.862038251
Jersey County,17083,4.702646711
Jo Daviess County,17085,5.051849922
Johnson County,17087,5.778845816
Kane County,17089,6.335934519
Kankakee County,17091,4.83166592
Kendall County,17093,4.777557844
Knox County,17095,5.276010072
Lake County,17097,9.047669539
LaSalle County,17099,3.385136103
Lawrence County,17101,9.692337811
Lee County,17103,4.778575778
Livingston County,17105,6.714782993
Logan County,17107,4.36905755
McDonough County,17109,6.170783408
McHenry County,17111,6.172172545
McLean County,17113,4.055869194
Macon County,17115,6.325917467
Macoupin County,17117,5.810507527
Madison County,17119,6.421576555
Marion County,17121,4.226238649
Marshall County,17123,6.724287672
Mason County,17125,4.821458753
Massac County,17127,3.822398667
Menard County,17129,4.258676368
Mercer County,17131,5.477981944
Monroe County,17133,5.323948714
Montgomery County,17135,9.459980666
Morgan County,17137,4.421299998
Moultrie County,17139,5.290162531
Ogle County,17141,5.762838163
Peoria County,17143,4.584744196
Perry County,17145,5.402155728
Piatt County,17147,8.028693881
Pike County,17149,4.831150305
Pope County,17151,2.997282049
Pulaski County,17153,5.157079182
Putnam County,17155,5.474822281
Randolph County,17157,3.266203668
Richland County,17159,3.497775333
Rock Island County,17161,4.059990777
Saint Clair County,17163,3.240281026
Saline County,17165,4.432002787
Sangamon County,17167,4.356774581
Schuyler County,17169,3.621728784
Scott County,17171,6.285333764
Shelby County,17173,3.534157996
Stark County,17175,5.539577077
Stephenson County,17177,5.361726323
Tazewell County,17179,3.062280741
Union County,17181,5.750192097
Vermilion County,17183,4.850315024
Wabash County,17185,3.825012837
Warren County,17187,5.415412591
Washington County,17189,6.598690782
Wayne County,17191,4.373709462
White County,17193,9.207935103
Whiteside County,17195,6.126003225
Will County,17197,7.221201236
Williamson County,17199,3.647737568
Winnebago County,17201,8.150102475
Woodford County,17203,4.224261621
Adams County,18001,3.306598991
Allen County,18003,5.652978248
Bartholomew County,18005,3.05325374
Benton County,18007,5.406794498
Blackford County,18009,4.669879477
Boone County,18011,6.984678297
Brown County,18013,6.006106375
Carroll County,18015,5.150915165
Cass County,18017,4.576902174
Clark County,18019,5.028212557
Clay County,18021,4.597244245
Clinton County,18023,2.255562369
Crawford County,18025,3.578503787
Daviess County,18027,4.19589782
Dearborn County,18029,5.63446223
Decatur County,18031,5.700244194
DeKalb County,18033,7.625217502
Delaware County,18035,4.344507489
Dubois County,18037,5.143588266
Elkhart County,18039,4.126275138
Fayette County,18041,5.742922661
Floyd County,18043,5.365920636
Fountain County,18045,4.912969192
Franklin County,18047,5.788147435
Fulton County,18049,4.41079101
Gibson County,18051,4.43315092
Grant County,18053,4.389606981
Greene County,18055,5.321482852
Hamilton County,18057,4.58737494
Hancock County,18059,4.848545296
Harrison County,18061,6.525563219
Hendricks County,18063,7.921608955
Henry County,18065,3.298844067
Howard County,18067,5.511819184
Huntington County,18069,5.749997145
Jackson County,18071,4.589711594
Jasper County,18073,5.90084734
Jay County,18075,3.929543664
Jefferson County,18077,5.723455314
Jennings County,18079,4.392856435
Johnson County,18081,3.059809123
Knox County,18083,3.793319891
Kosciusko County,18085,5.486406733
LaGrange County,18087,3.716250555
Lake County,18089,6.104492355
LaPorte County,18091,3.021848879
Lawrence County,18093,3.94511386
Madison County,18095,5.910043111
Marion County,18097,8.04032888
Marshall County,18099,4.316006563
Martin County,18101,5.165912651
Miami County,18103,4.819611219
Monroe County,18105,4.925665007
Montgomery County,18107,5.626412774
Morgan County,18109,4.601373579
Newton County,18111,4.89010642
Noble County,18113,4.726914422
Ohio County,18115,4.58281815
Orange County,18117,5.143781793
Owen County,18119,5.761660247
Parke County,18121,5.095812523
Perry County,18123,4.810928149
Pike County,18125,4.48468734
Porter County,18127,5.057015439
Posey County,18129,4.317603154
Pulaski County,18131,3.728641049
Putnam County,18133,5.844541724
Randolph County,18135,5.463868754
Ripley County,18137,4.921119951
Rush County,18139,4.317297523
Saint Joseph County,18141,4.432555977
Scott County,18143,5.328914078
Shelby County,18145,2.889616542
Spencer County,18147,4.029946342
Starke County,18149,4.631576541
Steuben County,18151,4.800501302
Sullivan County,18153,3.59497783
Switzerland County,18155,4.495218877
Tippecanoe County,18157,4.081494621
Tipton County,18159,3.572282947
Union County,18161,7.806429982
Vanderburgh County,18163,6.198115208
Vermillion County,18165,4.980483999
Vigo County,18167,6.339307757
Wabash County,18169,4.37959458
Warren County,18171,5.050526828
Warrick County,18173,4.026918693
Washington County,18175,2.528570087
Wayne County,18177,5.049253754
Wells County,18179,4.499819297
White County,18181,3.651626604
Whitley County,18183,2.403713338
Adair County,19001,4.613092671
Adams County,19003,3.704690381
Allamakee County,19005,4.850572224
Appanoose County,19007,5.68585024
Audubon County,19009,7.506085646
Benton County,19011,5.155318371
Black Hawk County,19013,4.005429525
Boone County,19015,4.222733147
Bremer County,19017,5.722684942
Buchanan County,19019,5.011516231
Buena Vista County,19021,5.364800391
Butler County,19023,5.550644542
Calhoun County,19025,6.252333246
Carroll County,19027,4.685576481
Cass County,19029,3.752136879
Cedar County,19031,4.503442765
Cerro Gordo County,19033,4.419103161
Cherokee County,19035,4.608775657
Chickasaw County,19037,3.304615539
Clarke County,19039,0.888744801
Clay County,19041,6.095838111
Clayton County,19043,5.039203463
Clinton County,19045,5.13070133
Crawford County,19047,5.341124096
Dallas County,19049,5.880400669
Davis County,19051,4.581619316
Decatur County,19053,4.253384192
Delaware County,19055,4.894229672
Des Moines County,19057,4.483044066
Dickinson County,19059,5.410735138
Dubuque County,19061,5.35255658
Emmet County,19063,1.111110912
Fayette County,19065,5.191743575
Floyd County,19067,6.518589773
Franklin County,19069,2.790372961
Fremont County,19071,6.02003277
Greene County,19073,3.861713974
Grundy County,19075,3.960076832
Guthrie County,19077,5.786850793
Hamilton County,19079,4.998359655
Hancock County,19081,4.258356174
Hardin County,19083,4.686792827
Harrison County,19085,4.054195768
Henry County,19087,4.341171657
Howard County,19089,3.759417255
Humboldt County,19091,6.414230811
Ida County,19093,5.765384585
Iowa County,19095,2.330110303
Jackson County,19097,3.675695826
Jasper County,19099,4.824228154
Jefferson County,19101,6.428434798
Johnson County,19103,4.934127824
Jones County,19105,3.690213394
Keokuk County,19107,4.506358238
Kossuth County,19109,5.78921727
Lee County,19111,4.39281922
Linn County,19113,4.263291468
Louisa County,19115,5.934749246
Lucas County,19117,5.682577392
Lyon County,19119,3.206241336
Madison County,19121,6.616927962
Mahaska County,19123,4.870125325
Marion County,19125,6.060468025
Marshall County,19127,4.4629842
Mills County,19129,5.526731
Mitchell County,19131,4.866488343
Monona County,19133,4.191282535
Monroe County,19135,5.758275709
Montgomery County,19137,4.311195929
Muscatine County,19139,5.529145043
O'Brien County,19141,6.050091278
Osceola County,19143,3.474565102
Page County,19145,5.026826877
Palo Alto County,19147,7.140143472
Plymouth County,19149,5.239279223
Pocahontas County,19151,5.429966212
Polk County,19153,7.084133581
Pottawattamie County,19155,5.537888779
Poweshiek County,19157,3.403672756
Ringgold County,19159,7.170945208
Sac County,19161,5.284289397
Scott County,19163,5.660313428
Shelby County,19165,6.433850783
Sioux County,19167,5.388752741
Story County,19169,5.527545153
Tama County,19171,5.244993822
Taylor County,19173,4.795826404
Union County,19175,6.016169861
Van Buren County,19177,5.218408974
Wapello County,19179,4.481916746
Warren County,19181,5.429300855
Washington County,19183,5.024352532
Wayne County,19185,5.351874442
Webster County,19187,4.061545507
Winnebago County,19189,4.324116964
Winneshiek County,19191,4.131061095
Woodbury County,19193,4.755183547
Worth County,19195,4.710413302
Wright County,19197,4.699764297
Allen County,20001,5.646523245
Anderson County,20003,6.14233499
Atchison County,20005,5.249864131
Barber County,20007,5.927378178
Barton County,20009,6.402652881
Bourbon County,20011,5.840390642
Brown County,20013,6.44739313
Butler County,20015,6.395569483
Chase County,20017,4.063395839
Chautauqua County,20019,5.796659467
Cherokee County,20021,4.639105864
Cheyenne County,20023,4.822988444
Clark County,20025,4.926527687
Clay County,20027,4.950409216
Cloud County,20029,5.462152772
Coffey County,20031,3.882067019
Comanche County,20033,3.098372541
Cowley County,20035,5.081811629
Crawford County,20037,6.162433984
Decatur County,20039,3.160134454
Dickinson County,20041,4.405275675
Doniphan County,20043,3.099966413
Douglas County,20045,4.484915759
Edwards County,20047,4.469396102
Elk County,20049,4.972259519
Ellis County,20051,4.246235492
Ellsworth County,20053,5.154639175
Finney County,20055,4.961821978
Ford County,20057,6.024359762
